sort,school,mascot,city,state,first,last,years,games,wins,losses,win_pct,srs,sos,polls_ap,champ_seas,champ_conf,appear_ncaa,appear_four,champ_ncaa
1,Abilene Christian,Wildcats,Abilene,TX,2014,2023,10,299,193,106,0.645,-4.47,-7.49,0,2,1,1,0,0
2,Air Force,Falcons,USAF Academy,CO,1982,2023,28,810,186,624,0.23,-10.84,1.05,0,0,0,0,0,0
3,Akron,Zips,Akron,OH,1982,2023,42,1200,460,740,0.383,-1.83,0.26,0,1,1,1,0,0
4,Alabama A&M,Bulldogs,Normal,AL,2000,2023,24,651,248,403,0.381,-18.79,-12.63,0,0,0,0,0,0
5,Alabama,Crimson Tide,Tuscaloosa,AL,1982,2023,42,1261,700,561,0.555,10.18,8.25,8,1,0,11,1,0
6,Alabama State,Hornets,Montgomery,AL,1984,2023,40,1152,553,599,0.48,-18.69,-9.52,0,3,4,3,0,0
7,Albany (NY),Great Danes,Albany,NY,2000,2023,24,715,367,348,0.513,-2.9,-6.64,0,5,7,7,0,0
8,Alcorn State,Braves,Alcorn State,MS,1982,2023,42,1195,566,629,0.474,-20.68,-8.61,0,10,6,3,0,0
9,American,Eagles,Washington,DC,1982,2023,42,1199,610,589,0.509,-2.66,-4.86,0,8,3,3,0,0
10,Appalachian State,Mountaineers,Boone,NC,1982,2023,42,1239,599,640,0.483,-5.47,-4.68,0,6,6,4,0,0
11,Arizona State,Sun Devils,Tempe,AZ,1982,2023,42,1261,723,538,0.573,14.62,10.51,10,2,1,17,0,0
12,Arizona,Wildcats,Tucson,AZ,1982,2023,42,1267,642,625,0.507,6.83,8.25,6,1,0,9,1,0
13,Arkansas,Razorbacks,Fayetteville,AR,1983,2023,41,1261,782,479,0.62,14.8,9.79,6,1,1,13,1,0
14,Arkansas State Red,Wolves,State University,AR,1983,2023,41,1200,634,566,0.528,-4.58,-3.27,0,3,0,0,0,0
15,Arkansas-Pine Bluff,Golden Lions,Pine Bluff,AR,1999,2023,25,705,179,526,0.254,-23.86,-9.99,0,0,0,0,0,0
16,Army,Black Knights,West Point,NY,1991,2023,33,953,471,482,0.494,-8.84,-6.58,0,3,3,3,0,0
17,Auburn,Tigers,Auburn,AL,1982,2023,42,1288,799,489,0.62,7.11,6.41,14,4,3,21,3,0
18,Augusta State,Jaguars,Augusta,GA,1985,1991,7,186,89,97,0.478,,,0,0,0,,,
19,Austin Peay,Governors,Clarksville,TN,1982,2023,42,1208,547,661,0.453,-11.41,-5.71,0,3,7,7,0,0
20,Ball State,Cardinals,Muncie,IN,1982,2023,42,1209,577,632,0.477,2.17,-0.07,0,6,1,1,0,0
21,Baylor,Bears,Waco,TX,1982,2023,42,1332,897,435,0.673,26.8,8.66,21,13,11,20,4,3
22,Bellarmine,Knights,Louisville,KY,2021,2023,3,80,18,62,0.225,-18,-4.36,0,0,0,0,0,0
23,Belmont,Bruins,Nashville,TN,1997,2023,27,814,518,296,0.636,-0.22,-4.3,1,9,7,7,0,0
24,Bethune-Cookman,Wildcats,Daytona Beach,FL,1983,2023,39,1089,493,596,0.453,-13.59,-10.95,0,4,2,1,0,0
25,Binghamton,Bearcats,Binghamton,NY,2002,2023,22,642,276,366,0.43,-12.88,-9,0,0,0,0,0,0
26,Birmingham-Southern,Panthers,Birmingham,AL,2002,2007,6,169,78,91,0.462,-11.78,-12.83,0,0,0,,,
