Season,StartDate,RegionW,RegionX,RegionY,RegionZ
2010,2009-11-02,Dayton,Memphis,KansasCity,Sacramento
2011,2010-11-01,Dallas,Spokane,Dayton,Philadelphia
2012,2011-10-31,DesMoines,Fresno,Kingston,Raleigh
2013,2012-11-05,Bridgeport,Norfolk,OklahomaCity,Spokane
2014,2013-11-04,Lincoln,Stanford,Louisville,NotreDame
2015,2014-11-03,Albany,Spokane,Greensboro,OklahomaCity
2016,2015-11-02,Bridgeport,Dallas,Lexington,SiouxFalls
2017,2016-10-31,Bridgeport,OklahomaCity,Lexington,Stockton
2018,2017-10-30,Albany,Spokane,KansasCity,Lexington
2019,2018-11-05,Albany,Chicago,Greensboro,Portland
2020,2019-11-04,NA1,NA2,NA3,NA4
2021,2020-11-02,Alamo,Hemisfair,Mercado,RiverWalk
2022,2021-11-01,Bridgeport,Spokane,Greensboro,Wichita
2023,2022-10-31,TBD,TBD,TBD,TBD
