TeamID,TeamName,Sports,BetExp,Name0,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
1101,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Chr,abilene chr,abilene christian,abilene-christian,,,,,,,
1102,Air Force,Air Force,Air Force,Air Force,air force,air-force,,,,,,,,
1103,Akron,Akron,Akron,Akron,akron,,,,,,,,,
1104,Alabama,Alabama,Alabama,Alabama,alabama,,,,,,,,,
1105,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,alabama a&m,alabama-am,,,,,,,,
1106,Alabama State,Alabama State,Alabama State,Alabama St,alabama st,alabama st.,alabama state,alabama-st,alabama-state,,,,,
1107,Albany (NY),Albany (NY),Albany,SUNY Albany,albany,albany (ny),albany ny,albany-ny,suny albany,,,,,
1108,Alcorn State,Alcorn State,Alcorn State,Alcorn St,alcorn,alcorn st,alcorn st.,alcorn state,alcorn-state,,,,,
1110,American,American,American University,American Univ,american,american u.,american univ,american university,american-university,,,,,
1111,Appalachian State,Appalachian State,Appalachian State,Appalachian St,appalachian st,appalachian st.,appalachian state,appalachian-st,appalachian-state,,,,,
1112,Arizona,Arizona,Arizona,Arizona,arizona,,,,,,,,,
1113,Arizona State,Arizona State,Arizona State,Arizona St,arizona st,arizona st.,arizona state,arizona-st,arizona-state,,,,,
1114,Little Rock,Little Rock,UALR,Ark Little Rock,ark little rock,arkansas-little rock,arkansas-little-rock,little rock,little-rock,ualr,,,,
1115,Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,Ark Pine Bluff,ark pine bluff,ark-pine-bluff,ark.-pine bluff,arkansas-pine bluff,arkansas-pine-bluff,,,,,
1116,Arkansas,Arkansas,Arkansas,Arkansas,arkansas,,,,,,,,,
1117,Arkansas State,Arkansas State,Arkansas State,Arkansas St,arkansas st,arkansas st.,arkansas state,arkansas-st,arkansas-state,,,,,
1119,Army,Army,Army,Army,army,army west point,army-west-point,,,,,,,
1120,Auburn,Auburn,Auburn,Auburn,auburn,,,,,,,,,
1122,Austin Peay,Austin Peay,Austin Peay,Austin Peay,austin peay,austin-peay,,,,,,,,
1123,Ball State,Ball State,Ball State,Ball St,ball st,ball st.,ball state,ball-st,ball-state,,,,,
1124,Baylor,Baylor,Baylor,Baylor,baylor,,,,,,,,,
1125,Belmont,Belmont,Belmont,Belmont,belmont,,,,,,,,,
1126,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,bethune-cookman,,,,,,,,,
1127,Binghamton,Binghamton,Binghamton,Binghamton,binghamton,,,,,,,,,
1129,Boise State,Boise State,Boise State,Boise St,boise st,boise st.,boise state,boise-st,boise-state,,,,,
1130,Boston College,Boston College,Boston College,Boston College,boston college,boston-college,,,,,,,,
1131,Boston University,Boston University,Boston University,Boston Univ,boston,boston u,boston u.,boston univ,boston university,boston-u,boston-university,,,
1132,Bowling Green,Bowling Green State,Bowling Green,Bowling Green,bowling green,bowling green state,bowling-green,bowling-green-state,,,,,,
1133,Bradley,Bradley,Bradley,Bradley,bradley,,,,,,,,,
1135,Brown,Brown,Brown,Brown,brown,,,,,,,,,
1136,Bryant,Bryant,Bryant University,Bryant,bryant,bryant university,,,,,,,,
1137,Bucknell,Bucknell,Bucknell,Bucknell,bucknell,,,,,,,,,
1138,Buffalo,Buffalo,Buffalo,Buffalo,buffalo,,,,,,,,,
1139,Butler,Butler,Butler,Butler,butler,,,,,,,,,
1140,Brigham Young,Brigham Young,Brigham Young,BYU,brigham young,brigham-young,byu,,,,,,,
1141,Central Michigan,Central Michigan,Central Michigan,C Michigan,c michigan,central mich.,central michigan,central-mich,central-michigan,,,,,
1142,Cal Poly,Cal Poly,Cal Poly,Cal Poly,cal poly,cal poly slo,cal-poly,,,,,,,
1143,California,California,California,California,california,university of california,,,,,,,,
1144,Campbell,Campbell,Campbell,Campbell,campbell,,,,,,,,,
1145,Canisius,Canisius,Canisius,Canisius,canisius,,,,,,,,,
1146,Central Arkansas,Central Arkansas,Central Arkansas,Cent Arkansas,cent arkansas,central ark.,central arkansas,central-ark,central-arkansas,,,,,
1147,Centenary,Centenary (LA),,Centenary,centenary,centenary (la),centenary-la,,,,,,,
1148,Central Connecticut,Central Connecticut State,Central Connecticut State,Central Conn,central conn,central conn. st.,central connecticut,central connecticut state,central-conn-st,central-connecticut-state,,,,
1149,Charleston Southern,Charleston Southern,Charleston Southern,Charleston So,charleston so,charleston so.,charleston southern,charleston-so,charleston-southern,,,,,
1150,Charlotte,Charlotte,Charlotte,Charlotte,charlotte,nc charlotte,north-carolina-charlotte,,,,,,,
1151,Chattanooga,Chattanooga,Chattanooga Mocs,Chattanooga,chattanooga,tennessee-chattanooga,,,,,,,,
1152,Chicago State,Chicago State,Chicago State,Chicago St,chicago st,chicago st.,chicago state,chicago-st,chicago-state,,,,,
1153,Cincinnati,Cincinnati,Cincinnati,Cincinnati,cincinnati,,,,,,,,,
1154,Citadel,The Citadel,Citadel,Citadel,citadel,the citadel,the-citadel,,,,,,,
1155,Clemson,Clemson,Clemson,Clemson,clemson,,,,,,,,,
1156,Cleveland State,Cleveland State,Cleveland State,Cleveland St,cleveland st,cleveland st.,cleveland state,cleveland-st,cleveland-state,,,,,
1157,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Car,coastal car,coastal caro.,coastal carolina,coastal-caro,coastal-carolina,,,,,
1158,College of Charleston,College of Charleston,Charleston,Col Charleston,charleston,col charleston,col-of-charleston,col. of charleston,college of charlesto,college of charleston,college-of-charleston,,,
1159,Colgate,Colgate,Colgate,Colgate,colgate,,,,,,,,,
1160,Colorado,Colorado,Colorado,Colorado,colorado,,,,,,,,,
1161,Colorado State,Colorado State,Colorado State,Colorado St,colorado st,colorado st.,colorado state,colorado-st,colorado-state,,,,,
1162,Columbia,Columbia,Columbia,Columbia,columbia,,,,,,,,,
1163,Connecticut,Connecticut,UConn,Connecticut,connecticut,uconn,,,,,,,,
1164,Coppin State,Coppin State,Coppin State,Coppin St,coppin st,coppin st.,coppin state,coppin-st,coppin-state,,,,,
1165,Cornell,Cornell,Cornell,Cornell,cornell,,,,,,,,,
1166,Creighton,Creighton,Creighton,Creighton,creighton,,,,,,,,,
1167,Cal State Bakersfield,Cal State Bakersfield,CSU Bakersfield,CS Bakersfield,bakersfield,cal state bakersfield,cal-state-bakersfield,cal. state - bakersfield,cs bakersfield,csu bakersfield,csu-bakersfield,,,
1168,Cal State Fullerton,Cal State Fullerton,CS Fullerton,CS Fullerton,cal st. fullerton,cal state fullerton,cal state-fullerton,cal-st-fullerton,cal-state-fullerton,cs fullerton,,,,
1169,Cal State Northridge,Cal State Northridge,CS Northridge,CS Northridge,cal st. northridge,cal state northridge,cal-state-northridge,cs northridge,csu northridge,csun,,,,
1170,Sacramento State,Sacramento State,Sacramento State,CS Sacramento,cs sacramento,sacramento st.,sacramento state,sacramento-st,sacramento-state,,,,,
