Season,Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
2010,1,Big 12 Conference,12,260,146,.640,13.62,8.00,1,7,0,Kansas,Kansas
2010,2,Atlantic Coast Conference,12,260,146,.640,13.24,7.76,0,6,1,Duke Maryland,Duke
2010,3,Big East Conference,16,327,210,.609,12.01,7.85,0,8,1,Syracuse,West Virginia
2010,4,Big Ten Conference,11,218,155,.584,11.38,7.92,0,5,1,Michigan State Ohio State Purdue,Ohio State
2010,5,Southeastern Conference,12,242,160,.602,10.71,6.47,0,4,0,Kentucky (East) Mississippi State (West),Kentucky
2010,6,Pacific-10 Conference,10,178,146,.549,8.81,6.69,0,2,0,California,Washington
2010,7,Mountain West Conference,9,173,123,.584,5.68,3.84,0,4,0,New Mexico,San Diego State
2010,8,Atlantic 10 Conference,14,258,202,.561,4.17,3.21,0,3,0,Temple Xavier,Temple
2010,9,Missouri Valley Conference,10,190,139,.578,4.12,2.46,0,1,0,Northern Iowa,Northern Iowa
2010,10,Conference USA,12,216,178,.548,4.05,2.64,0,2,0,UTEP,Houston
2010,11,Western Athletic Conference,9,163,132,.553,1.88,0.96,0,2,0,Utah State,New Mexico State
2010,12,West Coast Conference,8,135,124,.521,1.25,2.10,1,2,0,Gonzaga,Saint Mary's (CA)
2010,13,Horizon League,10,176,152,.537,0.29,0.93,1,1,1,Butler,Butler
2010,14,Colonial Athletic Association,12,199,195,.505,0.23,0.42,0,1,0,Old Dominion,Old Dominion
2010,15,Mid-American Conference,12,195,190,.506,-2.25,-1.27,0,1,0,Akron (East) Kent State (East) Eastern Michigan (West),Ohio
2010,16,Metro Atlantic Athletic Conference,10,162,156,.509,-2.72,-2.91,0,1,0,Siena,Siena
2010,17,Big West Conference,9,139,146,.488,-3.89,-1.67,0,1,0,Pacific UC Santa Barbara,UC Santa Barbara
2010,18,Big Sky Conference,9,134,140,.489,-4.35,-2.01,0,1,0,Weber State,Montana
2010,19,Southern Conference,12,191,201,.487,-4.63,-2.50,0,1,0,Appalachian State (North) Wofford (South),Wofford
2010,20,Atlantic Sun Conference,9,144,141,.505,-5.41,-2.71,0,1,0,Belmont Campbell Jacksonville Lipscomb,East Tennessee State
2010,21,Ohio Valley Conference,10,157,163,.491,-5.80,-3.33,0,1,0,Murray State,Murray State
