Season,Team0,Team1,Seed,Outcome
2023,3101,3102,,
2023,3101,3103,,
2023,3101,3104,,
2023,3101,3105,,
2023,3101,3106,,
2023,3101,3107,,
2023,3101,3108,,
2023,3101,3110,,
2023,3101,3111,,
2023,3101,3112,,
2023,3101,3113,,
2023,3101,3114,,
2023,3101,3115,,
2023,3101,3116,,
2023,3101,3117,,
2023,3101,3119,,
2023,3101,3120,,
2023,3101,3122,,
2023,3101,3123,,
2023,3101,3124,,
2023,3101,3125,,
2023,3101,3126,,
2023,3101,3127,,
2023,3101,3129,,
2023,3101,3130,,
2023,3101,3131,,
2023,3101,3132,,
2023,3101,3133,,
2023,3101,3135,,
2023,3101,3136,,
2023,3101,3137,,
2023,3101,3138,,
2023,3101,3139,,
2023,3101,3140,,
2023,3101,3141,,
2023,3101,3142,,
2023,3101,3143,,
2023,3101,3144,,
2023,3101,3145,,
2023,3101,3146,,
2023,3101,3148,,
2023,3101,3149,,
2023,3101,3150,,
2023,3101,3151,,
2023,3101,3152,,
2023,3101,3153,,
2023,3101,3155,,
2023,3101,3156,,
2023,3101,3157,,
2023,3101,3158,,
2023,3101,3159,,
2023,3101,3160,,
2023,3101,3161,,
2023,3101,3162,,
2023,3101,3163,,
2023,3101,3164,,
2023,3101,3165,,
2023,3101,3166,,
2023,3101,3167,,
2023,3101,3168,,
2023,3101,3169,,
2023,3101,3170,,
2023,3101,3171,,
2023,3101,3172,,
2023,3101,3173,,
2023,3101,3174,,
2023,3101,3175,,
2023,3101,3176,,
2023,3101,3177,,
2023,3101,3178,,
2023,3101,3179,,
2023,3101,3180,,
2023,3101,3181,,
2023,3101,3182,,
2023,3101,3183,,
2023,3101,3184,,
2023,3101,3185,,
2023,3101,3186,,
2023,3101,3187,,
2023,3101,3188,,
2023,3101,3189,,
2023,3101,3190,,
2023,3101,3191,,
2023,3101,3192,,
2023,3101,3193,,
2023,3101,3194,,
2023,3101,3195,,
2023,3101,3196,,
2023,3101,3197,,
2023,3101,3198,,
2023,3101,3199,,
2023,3101,3200,,
2023,3101,3201,,
2023,3101,3202,,
2023,3101,3203,,
2023,3101,3204,,
2023,3101,3205,,
2023,3101,3206,,
2023,3101,3207,,
2023,3101,3208,,
2023,3101,3209,,
2023,3101,3210,,
2023,3101,3211,,
2023,3101,3212,,
2023,3101,3213,,
2023,3101,3214,,
2023,3101,3216,,
2023,3101,3217,,
2023,3101,3218,,
2023,3101,3219,,
2023,3101,3220,,
2023,3101,3221,,
2023,3101,3222,,
2023,3101,3223,,
2023,3101,3224,,
2023,3101,3225,,
2023,3101,3226,,
2023,3101,3227,,
2023,3101,3228,,
2023,3101,3229,,
2023,3101,3230,,
2023,3101,3231,,
2023,3101,3232,,
2023,3101,3233,,
2023,3101,3234,,
2023,3101,3235,,
2023,3101,3236,,
2023,3101,3237,,
2023,3101,3238,,
2023,3101,3239,,
2023,3101,3240,,
2023,3101,3241,,
2023,3101,3242,,
2023,3101,3243,,
2023,3101,3244,,
2023,3101,3245,,
2023,3101,3246,,
2023,3101,3247,,
2023,3101,3248,,
2023,3101,3249,,
2023,3101,3250,,
2023,3101,3251,,
2023,3101,3252,,
2023,3101,3253,,
2023,3101,3254,,
2023,3101,3255,,
2023,3101,3256,,
2023,3101,3257,,
2023,3101,3258,,
2023,3101,3259,,
2023,3101,3260,,
2023,3101,3261,,
2023,3101,3262,,
2023,3101,3263,,
2023,3101,3264,,
2023,3101,3265,,
2023,3101,3266,,
2023,3101,3267,,
2023,3101,3268,,
2023,3101,3269,,
2023,3101,3270,,
2023,3101,3271,,
2023,3101,3272,,
2023,3101,3273,,
2023,3101,3274,,
2023,3101,3275,,
2023,3101,3276,,
2023,3101,3277,,
2023,3101,3278,,
2023,3101,3279,,
2023,3101,3280,,
2023,3101,3281,,
2023,3101,3282,,
2023,3101,3283,,
2023,3101,3284,,
2023,3101,3285,,
2023,3101,3286,,
2023,3101,3287,,
2023,3101,3288,,
2023,3101,3290,,
2023,3101,3291,,
2023,3101,3292,,
2023,3101,3293,,
2023,3101,3294,,
2023,3101,3295,,
2023,3101,3296,,
2023,3101,3297,,
2023,3101,3298,,
2023,3101,3299,,
2023,3101,3300,,
2023,3101,3301,,
2023,3101,3303,,
2023,3101,3304,,
2023,3101,3305,,
2023,3101,3306,,
2023,3101,3307,,
2023,3101,3308,,
2023,3101,3309,,
2023,3101,3310,,
2023,3101,3311,,
2023,3101,3312,,
2023,3101,3313,,
2023,3101,3314,,
2023,3101,3315,,
2023,3101,3316,,
2023,3101,3317,,
2023,3101,3318,,
2023,3101,3319,,
2023,3101,3320,,
2023,3101,3321,,
2023,3101,3322,,
2023,3101,3323,,
2023,3101,3324,,
2023,3101,3325,,
2023,3101,3326,,
2023,3101,3328,,
2023,3101,3329,,
2023,3101,3330,,
2023,3101,3331,,
2023,3101,3332,,
2023,3101,3333,,
2023,3101,3334,,
2023,3101,3335,,
2023,3101,3336,,
2023,3101,3337,,
2023,3101,3338,,
2023,3101,3339,,
2023,3101,3340,,
2023,3101,3341,,
2023,3101,3342,,
2023,3101,3343,,
2023,3101,3344,,
2023,3101,3345,,
2023,3101,3346,,
2023,3101,3347,,
2023,3101,3348,,
2023,3101,3349,,
2023,3101,3350,,
2023,3101,3351,,
2023,3101,3352,,
2023,3101,3353,,
2023,3101,3354,,
2023,3101,3355,,
2023,3101,3356,,
2023,3101,3357,,
2023,3101,3358,,
