Season,Team0,Team1,DayDate,Seed,Site,MOV,FG2M,FG2A,FG3M,FG3A,FT1M,FT1A,ORB,DRB,AST,TOVR,STL,BLK,PFL,Outcome
2003,1411,1421,2003-03-18,0,0,-8,-3,-2,1,2,-3,5,3,-2,-1,3,0,-3,0,1
2003,1112,1436,2003-03-20,-15,0,29,11,2,3,7,4,7,3,10,10,-1,0,4,-7,0
2003,1113,1272,2003-03-20,3,0,13,6,-10,-1,-14,2,1,-10,5,7,-3,5,-1,1,0
2003,1141,1166,2003-03-20,5,0,6,2,-7,-4,-10,6,8,-3,3,-5,-3,7,-5,-2,0
2003,1143,1301,2003-03-20,-1,0,2,2,8,-2,-1,0,3,8,-6,1,-1,3,-6,-5,0
2003,1140,1163,2003-03-20,-7,0,-5,3,12,-2,3,-9,-14,3,-3,3,-3,5,-4,6,1
2003,1161,1181,2003-03-20,-11,0,-10,-1,0,-1,-2,-7,-9,-2,-3,4,3,-5,-4,-4,1
2003,1153,1211,2003-03-20,1,0,-5,6,19,4,13,-21,-27,5,-6,1,-2,5,4,9,1
2003,1228,1443,2003-03-20,-9,0,5,2,-2,-3,-10,4,1,-2,5,5,0,5,-1,-2,0
2003,1242,1429,2003-03-20,-13,0,3,5,-5,-4,-11,-3,1,-6,1,0,-2,2,3,2,0
2003,1221,1266,2003-03-20,-11,0,-4,2,3,-4,-1,-4,2,3,0,0,-1,0,-2,-3,1
2003,1281,1356,2003-03-20,-5,0,1,2,-13,-3,-6,0,-3,-2,14,-12,10,-2,6,0,0
2003,1323,1454,2003-03-20,-7,0,1,0,-12,-5,-10,6,5,-3,10,-8,8,-5,3,-6,0
2003,1328,1354,2003-03-20,-15,0,17,3,0,4,-2,7,16,4,2,8,-4,1,1,-11,0
2003,1360,1390,2003-03-20,-9,0,-8,-9,-3,-4,-6,14,17,5,-4,-9,-3,-1,-8,-6,1
2003,1173,1409,2003-03-20,9,0,-13,-5,9,1,16,-4,-4,4,-10,-7,-1,-3,2,8,1
2003,1451,1458,2003-03-20,-7,0,-7,-2,13,1,8,-4,-7,12,-3,-7,1,-3,-2,4,1
2003,1120,1386,2003-03-21,3,0,2,3,-2,1,-6,-5,-3,-1,3,0,3,-4,1,-3,0
2003,1139,1280,2003-03-21,7,0,1,2,3,-1,-3,-2,-6,-1,-3,-5,-2,-3,-4,2,0
2003,1196,1358,2003-03-21,-13,0,30,13,4,7,10,-3,-4,-3,6,14,-6,5,-1,-1,0
2003,1104,1231,2003-03-21,-3,0,-5,3,3,-2,-6,-9,-10,-4,-2,-2,0,1,4,4,1
2003,1237,1246,2003-03-21,-15,0,-31,-18,-5,-6,-5,11,11,5,-7,-12,6,0,-3,-2,1
2003,1122,1257,2003-03-21,-9,0,-22,-11,-16,-6,-3,6,9,-7,-8,-7,6,-7,-1,-4,1
2003,1268,1423,2003-03-21,-5,0,2,7,-1,-3,-10,-9,-11,-2,8,1,5,-4,2,1,0
2003,1160,1277,2003-03-21,-3,0,-15,0,4,-2,1,-13,-8,2,-5,-7,2,1,7,1,1
2003,1329,1335,2003-03-21,-5,0,14,7,9,-1,2,1,12,8,2,-2,-7,7,0,-3,0
2003,1338,1447,2003-03-21,-13,0,26,12,8,2,-5,0,3,1,3,9,-10,8,4,-1,0
2003,1261,1345,2003-03-21,1,0,-24,-7,8,-3,10,-7,-2,9,-7,0,-3,-2,2,-5,1
2003,1264,1393,2003-03-21,-11,0,-11,-8,9,2,10,3,3,3,-14,0,-7,4,-7,-3,1
2003,1400,1421,2003-03-21,-15,0,21,8,0,1,-5,4,8,6,12,10,3,-3,-1,0,0
2003,1332,1428,2003-03-21,1,0,-2,1,-6,-6,-6,2,6,0,6,0,2,-1,-2,0,1
