Season,DayNum,WTeamID,LTeamID,WScore,LScore,LocG,LocC,LocH,LocA
2010,7,1143,1293,75,70,1,,1,0
2010,7,1314,1198,88,72,1,,1,0
2010,7,1326,1108,100,60,1,,1,0
2010,7,1393,1107,75,43,1,,1,0
2010,9,1143,1178,95,61,1,,1,0
2010,9,1314,1300,89,42,1,,1,0
2010,9,1393,1352,100,60,1,,1,0
2010,10,1301,1209,69,53,1,,1,0
2010,10,1326,1241,72,44,1,,1,0
2010,11,1111,1423,79,68,1,,1,0
2010,11,1113,1442,87,35,1,,1,0
2010,11,1116,1108,130,68,1,,1,0
2010,11,1120,1310,69,65,1,,1,0
2010,11,1123,1434,88,78,1,,1,0
2010,11,1124,1313,86,58,1,,1,0
2010,11,1125,1340,74,67,1,,0,0
2010,11,1129,1258,90,87,1,,0,0
2010,11,1130,1171,89,58,1,,1,0
2010,11,1135,1383,68,64,1,,0,1
2010,11,1140,1133,70,60,1,,1,0
2010,11,1150,1421,86,70,1,,1,0
2010,11,1155,1342,84,41,1,,1,0
2010,11,1157,1158,70,59,1,,1,0
2010,11,1160,1115,88,72,1,,1,0
2010,11,1161,1413,91,73,1,,0,0
2010,11,1163,1456,75,66,1,,1,0
2010,11,1181,1422,96,62,1,,1,0
2010,11,1182,1311,85,62,1,,1,0
2010,11,1193,1148,67,58,1,,1,0
2010,11,1206,1251,76,72,1,,1,0
2010,11,1207,1408,74,58,1,,0,1
2010,11,1208,1309,67,59,1,,1,0
2010,11,1217,1221,87,77,1,,0,1
2010,11,1218,1381,65,48,1,,1,0
2010,11,1225,1428,94,87,1,,0,1
2010,11,1228,1188,96,69,1,,1,0
2010,11,1231,1224,83,60,1,,1,0
2010,11,1233,1131,82,73,1,,1,0
2010,11,1235,1226,88,68,1,,1,0
2010,11,1242,1220,101,65,1,,1,0
2010,11,1243,1260,92,54,1,,1,0
2010,11,1245,1359,69,66,1,,1,0
2010,11,1246,1287,75,59,1,,1,0
2010,11,1248,1447,81,72,1,,1,0
