Season,TeamID,ConfAbbrev,Conference,ConfRank,ConfSRS,ConfSOS,WinPCT,Wins,Losses,Schools
2010,1102,mwc,Mountain West Conference,7,5.68,3.84,0.584459459,173,123,9
2010,1103,mac,Mid-American Conference,15,-2.25,-1.27,0.506493506,195,190,12
2010,1104,sec,Southeastern Conference,5,10.71,6.47,0.60199005,242,160,12
2010,1105,swac,Southwest Athletic Conference,32,-18.01,-11.01,0.38961039,120,188,10
2010,1106,swac,Southwest Athletic Conference,32,-18.01,-11.01,0.38961039,120,188,10
2010,1107,aec,America East Conference,25,-8.18,-5.8,0.463157895,132,153,9
2010,1108,swac,Southwest Athletic Conference,32,-18.01,-11.01,0.38961039,120,188,10
2010,1110,patriot,Patriot League,27,-8.9,-7.31,0.455284553,112,134,8
2010,1111,southern,Southern Conference,19,-4.63,-2.5,0.487244898,191,201,12
2010,1112,pac_ten,Pacific-10 Conference,6,8.81,6.69,0.549382716,178,146,10
2010,1113,pac_ten,Pacific-10 Conference,6,8.81,6.69,0.549382716,178,146,10
2010,1114,sun_belt,Sun Belt Conference,22,-5.85,-3.73,0.484184915,199,212,13
2010,1115,swac,Southwest Athletic Conference,32,-18.01,-11.01,0.38961039,120,188,10
2010,1116,sec,Southeastern Conference,5,10.71,6.47,0.60199005,242,160,12
2010,1117,sun_belt,Sun Belt Conference,22,-5.85,-3.73,0.484184915,199,212,13
2010,1119,patriot,Patriot League,27,-8.9,-7.31,0.455284553,112,134,8
2010,1120,sec,Southeastern Conference,5,10.71,6.47,0.60199005,242,160,12
2010,1122,ovc,Ohio Valley Conference,21,-5.8,-3.33,0.490625,157,163,10
2010,1123,mac,Mid-American Conference,15,-2.25,-1.27,0.506493506,195,190,12
2010,1124,big_twelve,Big 12 Conference,1,13.62,8.0,0.640394089,260,146,12
2010,1125,a_sun,Atlantic Sun Conference,20,-5.41,-2.71,0.505263158,144,141,9
2010,1126,meac,Mid-Eastern Athletic Conference,29,-12.07,-7.19,0.427350427,150,201,11
2010,1127,aec,America East Conference,25,-8.18,-5.8,0.463157895,132,153,9
2010,1129,wac,Western Athletic Conference,11,1.88,0.96,0.552542373,163,132,9
2010,1130,acc,Atlantic Coast Conference,2,13.24,7.76,0.640394089,260,146,12
2010,1131,aec,America East Conference,25,-8.18,-5.8,0.463157895,132,153,9
2010,1132,mac,Mid-American Conference,15,-2.25,-1.27,0.506493506,195,190,12
2010,1133,mvc,Missouri Valley Conference,9,4.12,2.46,0.577507599,190,139,10
2010,1135,ivy,Ivy League,24,-6.73,-4.33,0.4875,117,123,8
2010,1136,nec,Northeast Conference,28,-11.25,-7.91,0.444444444,152,190,11
2010,1137,patriot,Patriot League,27,-8.9,-7.31,0.455284553,112,134,8
2010,1138,mac,Mid-American Conference,15,-2.25,-1.27,0.506493506,195,190,12
2010,1139,horizon,Horizon League,13,0.29,0.93,0.536585366,176,152,10
2010,1140,mwc,Mountain West Conference,7,5.68,3.84,0.584459459,173,123,9
2010,1141,mac,Mid-American Conference,15,-2.25,-1.27,0.506493506,195,190,12
2010,1142,big_west,Big West Conference,17,-3.89,-1.67,0.487719298,139,146,9
2010,1143,pac_ten,Pacific-10 Conference,6,8.81,6.69,0.549382716,178,146,10
2010,1144,a_sun,Atlantic Sun Conference,20,-5.41,-2.71,0.505263158,144,141,9
2010,1145,maac,Metro Atlantic Athletic Conference,16,-2.72,-2.91,0.509433962,162,156,10
2010,1146,southland,Southland Conference,23,-6.54,-4.35,0.526470588,179,161,11
2010,1147,summit,Summit League,26,-8.42,-4.68,0.487179487,152,160,10
2010,1148,nec,Northeast Conference,28,-11.25,-7.91,0.444444444,152,190,11
