TeamID,TeamName,Sports,BetExp,Name0,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
3101,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Chr,abilene chr,abilene christian,abilene-christian,,,,,,,
3102,Air Force,Air Force,Air Force,Air Force,air force,air-force,,,,,,,,
3103,Akron,Akron,Akron,Akron,akron,,,,,,,,,
3104,Alabama,Alabama,Alabama,Alabama,alabama,,,,,,,,,
3105,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,alabama a&m,alabama-am,,,,,,,,
3106,Alabama State,Alabama State,Alabama State,Alabama St,alabama st,alabama st.,alabama state,alabama-st,alabama-state,,,,,
3107,Albany (NY),Albany (NY),Albany,SUNY Albany,albany,albany (ny),albany ny,albany-ny,suny albany,,,,,
3108,Alcorn State,Alcorn State,Alcorn State,Alcorn St,alcorn,alcorn st,alcorn st.,alcorn state,alcorn-state,,,,,
3110,American,American,American University,American Univ,american,american u.,american univ,american university,american-university,,,,,
3111,Appalachian State,Appalachian State,Appalachian State,Appalachian St,appalachian st,appalachian st.,appalachian state,appalachian-st,appalachian-state,,,,,
3112,Arizona,Arizona,Arizona,Arizona,arizona,,,,,,,,,
3113,Arizona State,Arizona State,Arizona State,Arizona St,arizona st,arizona st.,arizona state,arizona-st,arizona-state,,,,,
3114,Little Rock,Little Rock,UALR,Ark Little Rock,ark little rock,arkansas-little rock,arkansas-little-rock,little rock,little-rock,ualr,,,,
3115,Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,Ark Pine Bluff,ark pine bluff,ark-pine-bluff,ark.-pine bluff,arkansas-pine bluff,arkansas-pine-bluff,,,,,
3116,Arkansas,Arkansas,Arkansas,Arkansas,arkansas,,,,,,,,,
3117,Arkansas State,Arkansas State,Arkansas State,Arkansas St,arkansas st,arkansas st.,arkansas state,arkansas-st,arkansas-state,,,,,
3119,Army,Army,Army,Army,army,army west point,army-west-point,,,,,,,
3120,Auburn,Auburn,Auburn,Auburn,auburn,,,,,,,,,
3122,Austin Peay,Austin Peay,Austin Peay,Austin Peay,austin peay,austin-peay,,,,,,,,
3123,Ball State,Ball State,Ball State,Ball St,ball st,ball st.,ball state,ball-st,ball-state,,,,,
3124,Baylor,Baylor,Baylor,Baylor,baylor,,,,,,,,,
3125,Belmont,Belmont,Belmont,Belmont,belmont,,,,,,,,,
3126,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,bethune-cookman,,,,,,,,,
3127,Binghamton,Binghamton,Binghamton,Binghamton,binghamton,,,,,,,,,
3129,Boise State,Boise State,Boise State,Boise St,boise st,boise st.,boise state,boise-st,boise-state,,,,,
3130,Boston College,Boston College,Boston College,Boston College,boston college,boston-college,,,,,,,,
3131,Boston University,Boston University,Boston University,Boston Univ,boston,boston u,boston u.,boston univ,boston university,boston-u,boston-university,,,
3132,Bowling Green,Bowling Green State,Bowling Green,Bowling Green,bowling green,bowling green state,bowling-green,bowling-green-state,,,,,,
3133,Bradley,Bradley,Bradley,Bradley,bradley,,,,,,,,,
3135,Brown,Brown,Brown,Brown,brown,,,,,,,,,
3136,Bryant,Bryant,Bryant University,Bryant,bryant,bryant university,,,,,,,,
3137,Bucknell,Bucknell,Bucknell,Bucknell,bucknell,,,,,,,,,
3138,Buffalo,Buffalo,Buffalo,Buffalo,buffalo,,,,,,,,,
3139,Butler,Butler,Butler,Butler,butler,,,,,,,,,
3140,Brigham Young,Brigham Young,Brigham Young,BYU,brigham young,brigham-young,byu,,,,,,,
3141,Central Michigan,Central Michigan,Central Michigan,C Michigan,c michigan,central mich.,central michigan,central-mich,central-michigan,,,,,
3142,Cal Poly,Cal Poly,Cal Poly,Cal Poly,cal poly,cal poly slo,cal-poly,,,,,,,
3143,California,California,California,California,california,university of california,,,,,,,,
3144,Campbell,Campbell,Campbell,Campbell,campbell,,,,,,,,,
3145,Canisius,Canisius,Canisius,Canisius,canisius,,,,,,,,,
3146,Central Arkansas,Central Arkansas,Central Arkansas,Cent Arkansas,cent arkansas,central ark.,central arkansas,central-ark,central-arkansas,,,,,
3147,Centenary,Centenary (LA),,Centenary,centenary,centenary (la),centenary-la,,,,,,,
3148,Central Connecticut,Central Connecticut State,Central Connecticut State,Central Conn,central conn,central conn. st.,central connecticut,central connecticut state,central-conn-st,central-connecticut-state,,,,
3149,Charleston Southern,Charleston Southern,Charleston Southern,Charleston So,charleston so,charleston so.,charleston southern,charleston-so,charleston-southern,,,,,
3150,Charlotte,Charlotte,Charlotte,Charlotte,charlotte,nc charlotte,north-carolina-charlotte,,,,,,,
3151,Chattanooga,Chattanooga,Chattanooga Mocs,Chattanooga,chattanooga,tennessee-chattanooga,,,,,,,,
3152,Chicago State,Chicago State,Chicago State,Chicago St,chicago st,chicago st.,chicago state,chicago-st,chicago-state,,,,,
3153,Cincinnati,Cincinnati,Cincinnati,Cincinnati,cincinnati,,,,,,,,,
3155,Clemson,Clemson,Clemson,Clemson,clemson,,,,,,,,,
3156,Cleveland State,Cleveland State,Cleveland State,Cleveland St,cleveland st,cleveland st.,cleveland state,cleveland-st,cleveland-state,,,,,
3157,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Car,coastal car,coastal caro.,coastal carolina,coastal-caro,coastal-carolina,,,,,
3158,College of Charleston,College of Charleston,Charleston,Col Charleston,charleston,col charleston,col-of-charleston,col. of charleston,college of charlesto,college of charleston,college-of-charleston,,,
3159,Colgate,Colgate,Colgate,Colgate,colgate,,,,,,,,,
3160,Colorado,Colorado,Colorado,Colorado,colorado,,,,,,,,,
3161,Colorado State,Colorado State,Colorado State,Colorado St,colorado st,colorado st.,colorado state,colorado-st,colorado-state,,,,,
3162,Columbia,Columbia,Columbia,Columbia,columbia,,,,,,,,,
3163,Connecticut,Connecticut,UConn,Connecticut,connecticut,uconn,,,,,,,,
3164,Coppin State,Coppin State,Coppin State,Coppin St,coppin st,coppin st.,coppin state,coppin-st,coppin-state,,,,,
3165,Cornell,Cornell,Cornell,Cornell,cornell,,,,,,,,,
3166,Creighton,Creighton,Creighton,Creighton,creighton,,,,,,,,,
3167,Cal State Bakersfield,Cal State Bakersfield,CSU Bakersfield,CS Bakersfield,bakersfield,cal state bakersfield,cal-state-bakersfield,cal. state - bakersfield,cs bakersfield,csu bakersfield,csu-bakersfield,,,
3168,Cal State Fullerton,Cal State Fullerton,CS Fullerton,CS Fullerton,cal st. fullerton,cal state fullerton,cal state-fullerton,cal-st-fullerton,cal-state-fullerton,cs fullerton,,,,
3169,Cal State Northridge,Cal State Northridge,CS Northridge,CS Northridge,cal st. northridge,cal state northridge,cal-state-northridge,cs northridge,csu northridge,csun,,,,
3170,Sacramento State,Sacramento State,Sacramento State,CS Sacramento,cs sacramento,sacramento st.,sacramento state,sacramento-st,sacramento-state,,,,,
3171,Dartmouth,Dartmouth,Dartmouth,Dartmouth,dartmouth,,,,,,,,,
3172,Davidson,Davidson,Davidson,Davidson,davidson,,,,,,,,,
3173,Dayton,Dayton,Dayton,Dayton,dayton,,,,,,,,,
3174,Delaware,Delaware,Delaware,Delaware,delaware,,,,,,,,,
3175,Delaware State,Delaware State,Delaware State,Delaware St,delaware st,delaware st.,delaware state,delaware-st,delaware-state,,,,,
3176,Denver,Denver,Denver,Denver,denver,,,,,,,,,
3177,DePaul,DePaul,DePaul,DePaul,depaul,,,,,,,,,
3178,Detroit Mercy,Detroit Mercy,Detroit,Detroit,detroit,detroit mercy,detroit-mercy,,,,,,,
3179,Drake,Drake,Drake,Drake,drake,,,,,,,,,
3180,Drexel,Drexel,Drexel,Drexel,drexel,,,,,,,,,
3181,Duke,Duke,Duke,Duke,duke,,,,,,,,,
3182,Duquesne,Duquesne,Duquesne,Duquesne,duquesne,,,,,,,,,
3183,Eastern Illinois,Eastern Illinois,Eastern Illinois,E Illinois,e illinois,eastern ill.,eastern illinois,eastern-ill,eastern-illinois,,,,,
3184,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,E Kentucky,e kentucky,eastern kentucky,eastern ky.,eastern-kentucky,eastern-ky,,,,,
3185,Eastern Michigan,Eastern Michigan,Eastern Michigan,E Michigan,e michigan,eastern mich.,eastern michigan,eastern-mich,eastern-michigan,,,,,
3186,Eastern Washington,Eastern Washington,East. Washington,E Washington,e washington,eastern wash.,eastern washington,eastern-wash,eastern-washington,,,,,
3187,East Carolina,East Carolina,East Carolina,East Carolina,east carolina,east-carolina,,,,,,,,
3188,SIU Edwardsville,SIU Edwardsville,Siu Edwardsville,SIUE,edwardsville,siu - edwardsville,siu edwardsville,siu-edwardsville,siue,southern illinois-edwardsville,southern-illinois-edwardsville,,,
3189,Elon,Elon,Elon,Elon,elon,elon university,,,,,,,,
3190,East Tennessee State,East Tennessee State,East Tennessee St,ETSU,east tenn. st.,east tennessee st.,east tennessee state,east-tennessee-state,etsu,,,,,
3191,Evansville,Evansville,Evansville,Evansville,evansville,,,,,,,,,
3192,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,F Dickinson,f dickinson,fairleigh dickinson,fairleigh-dickinson,,,,,,,
3193,Fairfield,Fairfield,Fairfield,Fairfield,fairfield,,,,,,,,,
3194,Florida Atlantic,Florida Atlantic,Florida Atlantic,FL Atlantic,fl atlantic,fla-atlantic,fla. atlantic,florida atlantic,florida-atlantic,,,,,
3195,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,FL Gulf Coast,fgcu,fl gulf coast,florida gulf coast,florida-gulf-coast,,,,,,
3196,Florida,Florida,Florida,Florida,florida,,,,,,,,,
3197,Florida A&M,Florida A&M,Florida A&M,Florida A&M,florida a&m,florida-am,,,,,,,,
3198,Florida International,Florida International,Florida International,Florida Intl,fiu,florida internationa,florida international,florida intl,florida-international,,,,,
3199,Florida State,Florida State,Florida State,Florida St,florida st,florida st.,florida state,florida-st,florida-state,,,,,
3200,Fordham,Fordham,Fordham,Fordham,fordham,,,,,,,,,
3201,Fresno State,Fresno State,Fresno State,Fresno St,fresno st,fresno st.,fresno state,fresno-st,fresno-state,,,,,
3202,Furman,Furman,Furman,Furman,furman,,,,,,,,,
3203,George Washington,George Washington,George Washington,G Washington,g washington,george washington,george-washington,,,,,,,
3204,Georgia Southern,Georgia Southern,Georgia Southern,Ga Southern,ga southern,ga-southern,ga. southern,georgia southern,georgia-southern,,,,,
3205,Gardner-Webb,Gardner-Webb,Gardner Webb,Gardner Webb,gardner webb,gardner-webb,,,,,,,,
3206,George Mason,George Mason,George Mason,George Mason,george mason,george-mason,,,,,,,,
3207,Georgetown,Georgetown,Georgetown,Georgetown,georgetown,,,,,,,,,
3208,Georgia,Georgia,Georgia,Georgia,georgia,,,,,,,,,
3209,Georgia State,Georgia State,Georgia State,Georgia St,georgia st,georgia st.,georgia state,georgia-st,georgia-state,,,,,
3210,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,georgia tech,georgia-tech,,,,,,,,
