Season,Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
2010,1,Big 12 Conference,12,257,145,.639,19.71,12.74,1,7,2,Nebraska,Texas A&M
2010,2,Southeastern Conference,12,235,153,.606,16.35,10.53,0,6,,Tennessee,Tennessee
2010,3,Big Ten Conference,11,212,148,.589,15.47,11.53,0,4,,Ohio State,Ohio State
2010,4,Pacific-10 Conference,10,186,143,.565,15.31,12.06,0,2,1,Stanford,Stanford
2010,5,Big East Conference,16,329,199,.623,15.23,9.86,0,7,1,Connecticut,Connecticut
2010,6,Atlantic Coast Conference,12,248,147,.628,14.97,9.18,0,6,,Duke Florida State,Duke
2010,7,Mountain West Conference,9,160,129,.554,6.08,4.65,0,2,,TCU,San Diego State
2010,8,Atlantic 10 Conference,14,230,209,.524,3.67,3.05,0,3,,Xavier,Xavier
2010,9,West Coast Conference,8,126,125,.502,2.40,2.80,1,1,,Gonzaga,Gonzaga
2010,10,Colonial Athletic Association,12,202,180,.529,1.96,1.22,0,1,,Old Dominion,James Madison
2010,11,Missouri Valley Conference,10,164,154,.516,1.45,1.61,0,1,,Illinois State,Northern Iowa
2010,12,Conference USA,12,198,175,.531,1.35,0.28,0,1,,Tulane,Tulane
2010,13,Western Athletic Conference,9,144,138,.511,0.13,0.98,0,2,,Fresno State,Louisiana Tech
2010,14,Mid-American Conference,12,181,192,.485,-0.97,-0.47,0,1,,Bowling Green State Toledo,Bowling Green State
2010,15,Horizon League,10,146,165,.469,-2.23,-0.50,0,2,,Green Bay,Cleveland State
2010,16,America East Conference,9,132,145,.477,-2.55,-0.67,0,2,,Hartford,Vermont
2010,17,Big West Conference,9,118,157,.429,-3.17,-0.46,0,1,,UC Davis,UC Riverside
2010,18,Sun Belt Conference,13,199,202,.496,-4.03,-3.07,0,2,,Little Rock Middle Tennessee,Middle Tennessee
2010,19,Metro Atlantic Athletic Conference,10,144,167,.463,-5.29,-3.95,0,1,,Marist,Marist
2010,20,Big Sky Conference,9,128,145,.469,-5.71,-2.73,0,1,,Eastern Washington,Portland State
2010,21,Ivy League,8,105,120,.467,-5.74,-3.13,0,1,,Princeton,
2010,22,Southern Conference,11,168,178,.486,-6.31,-4.49,0,1,,Chattanooga,Chattanooga
2010,23,Northeast Conference,12,164,197,.454,-8.47,-6.54,0,1,,Robert Morris,Saint Francis (PA)
2010,24,Big South Conference,9,138,139,.498,-9.22,-6.98,0,1,,Gardner-Webb,Liberty
2010,25,Patriot League,8,112,130,.463,-9.84,-7.05,0,1,,American Lehigh,Lehigh
2010,26,Atlantic Sun Conference,11,154,180,.461,-10.14,-7.90,0,1,,East Tennessee State,East Tennessee State
2010,27,Summit League,10,130,176,.425,-11.06,-6.54,0,1,,Oral Roberts,South Dakota State
2010,28,Southland Conference,12,176,186,.486,-11.66,-9.11,0,1,,Lamar Stephen F. Austin,Lamar
2010,29,Mid-Eastern Athletic Conference,11,157,177,.470,-13.27,-9.62,0,1,,North Carolina A&T,Hampton
2010,30,Independent,5,50,97,.340,-13.29,-4.59,0,,,,
2010,31,Ohio Valley Conference,10,136,168,.447,-13.46,-9.36,0,1,,Eastern Illinois,Austin Peay
2010,32,Southwest Athletic Conference,10,124,170,.422,-15.87,-10.86,0,1,,Southern,Southern
2010,33,Great West Conference,7,80,132,.377,-18.00,-9.47,0,,,North Dakota,Utah Valley
2011,1,Big 12 Conference,12,256,147,.635,19.91,12.46,1,7,1,Baylor,Baylor
2011,2,Big East Conference,16,325,207,.611,17.98,12.40,0,9,2,Connecticut,Connecticut
2011,3,Atlantic Coast Conference,12,249,147,.629,16.80,10.16,0,6,,Duke Miami (FL),Duke
2011,4,Big Ten Conference,11,201,150,.573,15.42,11.95,0,5,,Michigan State,Ohio State
2011,5,Pacific-10 Conference,10,185,138,.573,13.98,11.27,0,3,1,Stanford,Stanford
2011,6,Southeastern Conference,12,238,157,.603,12.75,8.56,0,4,,Tennessee,Tennessee
2011,7,Mountain West Conference,9,148,139,.516,6.61,5.19,0,1,,Brigham Young,Utah
2011,8,Atlantic 10 Conference,14,235,205,.534,5.04,3.82,0,3,,Xavier,Xavier
2011,9,Mid-American Conference,12,202,179,.530,3.24,2.15,0,1,,Bowling Green State Toledo,Bowling Green State
2011,10,Missouri Valley Conference,10,166,153,.520,3.02,2.82,0,1,,Northern Iowa,Northern Iowa
2011,11,Colonial Athletic Association,12,192,184,.511,2.20,1.62,0,1,,James Madison,James Madison
2011,12,West Coast Conference,8,127,121,.512,0.78,0.82,1,1,,Gonzaga,Gonzaga
2011,13,Conference USA,12,200,176,.532,0.48,0.24,0,2,,Houston,Central Florida
2011,14,Horizon League,10,159,160,.498,0.19,1.21,0,1,,Green Bay,Green Bay
2011,15,Western Athletic Conference,9,143,141,.504,-1.40,-0.15,0,2,,Louisiana Tech,Fresno State
2011,16,Big West Conference,9,125,154,.448,-3.10,-0.62,0,1,,Cal Poly UC Santa Barbara,UC Davis
2011,17,Sun Belt Conference,12,175,193,.476,-4.24,-2.81,0,2,,Little Rock Middle Tennessee,Little Rock
2011,18,Big Sky Conference,9,125,149,.456,-5.21,-2.65,0,1,,Northern Colorado Portland State,Montana
2011,19,Southern Conference,11,167,173,.491,-6.10,-4.65,0,1,,Appalachian State,Samford
2011,20,Summit League,10,138,163,.458,-7.65,-4.28,0,1,,Oral Roberts,South Dakota State
2011,21,Patriot League,8,115,126,.477,-7.79,-6.33,0,1,,American Lehigh Navy,Navy
2011,22,Ivy League,8,97,129,.429,-7.89,-5.22,0,1,,Princeton,
2011,23,Big South Conference,9,133,144,.480,-8.93,-6.00,0,1,,Liberty,Gardner-Webb
2011,24,Northeast Conference,12,177,187,.486,-9.71,-7.64,0,1,,Saint Francis (PA),Saint Francis (PA)
2011,25,Metro Atlantic Athletic Conference,10,141,174,.448,-9.83,-6.63,0,1,,Marist,Marist
2011,26,Ohio Valley Conference,10,140,165,.459,-11.62,-8.23,0,1,,Tennessee Tech,Tennessee-Martin
2011,27,America East Conference,9,114,161,.415,-11.70,-7.01,0,1,,Maryland-Baltimore County,Hartford
2011,28,Atlantic Sun Conference,11,156,182,.462,-11.94,-8.87,0,1,,Florida Gulf Coast,Stetson
2011,29,Mid-Eastern Athletic Conference,12,162,203,.444,-12.19,-8.51,0,1,,Hampton,Hampton
2011,30,Southland Conference,12,171,194,.468,-12.67,-8.91,0,1,,McNeese State Sam Houston State UTSA,McNeese State
2011,31,Great West Conference,7,90,124,.421,-14.15,-7.29,0,,,Chicago State,Chicago State
2011,32,Independent,5,59,83,.415,-17.25,-5.61,0,,,,
2011,33,Southwest Athletic Conference,10,121,179,.403,-17.90,-11.02,0,1,,Southern,Prairie View
2012,1,Big 12 Conference,10,218,122,.641,21.08,14.52,1,7,1,Baylor,Baylor
2012,2,Big East Conference,16,326,210,.608,16.72,11.49,0,8,2,Notre Dame,Connecticut
2012,3,Atlantic Coast Conference,12,228,163,.583,15.43,10.12,0,4,,Duke,Maryland
2012,4,Southeastern Conference,12,243,148,.621,14.92,8.91,0,8,,Kentucky,Tennessee
2012,5,Pac-12 Conference,12,232,162,.589,14.05,10.30,0,2,1,Stanford,Stanford
2012,6,Big Ten Conference,12,218,164,.571,12.79,9.57,0,7,,Penn State,Purdue
2012,7,West Coast Conference,9,153,133,.535,4.51,4.67,0,2,,Gonzaga,Brigham Young
2012,8,Atlantic 10 Conference,14,222,210,.514,3.66,2.88,0,2,,St. Bonaventure,Dayton
2012,9,Colonial Athletic Association,12,205,179,.534,2.25,2.56,1,1,,Delaware,Delaware
2012,10,Missouri Valley Conference,10,166,158,.512,1.89,1.66,0,1,,Missouri State,Creighton
2012,11,Horizon League,10,157,157,.500,-0.34,-0.18,0,1,,Green Bay,Green Bay
2012,12,Mountain West Conference,8,120,125,.490,-1.54,-0.95,0,1,,San Diego State,San Diego State
2012,13,Conference USA,12,195,176,.526,-1.68,-2.38,0,1,,UTEP,UTEP
2012,14,Mid-American Conference,12,186,191,.493,-1.92,-0.86,0,1,,Bowling Green State Eastern Michigan Toledo,Eastern Michigan
2012,15,Big West Conference,9,129,150,.462,-2.21,-0.63,0,1,,Cal Poly,UC Santa Barbara
2012,16,Big Sky Conference,9,134,138,.493,-3.55,-1.73,0,1,,Idaho State,Idaho State
2012,17,Ivy League,8,108,119,.476,-4.34,-2.69,0,1,,Princeton,
2012,18,Summit League,10,151,159,.487,-4.65,-2.27,0,1,,South Dakota State,South Dakota State
2012,19,Western Athletic Conference,8,113,136,.454,-4.69,-2.09,0,1,,Fresno State,Fresno State
2012,20,Sun Belt Conference,12,176,194,.476,-5.48,-3.39,0,2,,Little Rock Middle Tennessee,Little Rock
2012,21,America East Conference,9,133,148,.473,-5.86,-3.78,0,1,,Boston University,Albany (NY)
2012,22,Patriot League,8,112,135,.453,-6.60,-4.83,0,1,,American,Navy
2012,23,Northeast Conference,12,179,188,.488,-7.03,-5.34,0,1,,Sacred Heart,Sacred Heart
2012,24,Metro Atlantic Athletic Conference,10,147,167,.468,-7.17,-5.14,0,1,,Marist,Marist
2012,25,Southland Conference,12,181,186,.493,-8.86,-6.02,0,1,,Central Arkansas Sam Houston State,McNeese State
2012,26,Southern Conference,11,168,175,.490,-9.24,-7.10,0,1,,Appalachian State Davidson,Samford
2012,27,Mid-Eastern Athletic Conference,13,180,214,.457,-10.20,-7.05,0,1,,Hampton,Hampton
2012,28,Ohio Valley Conference,11,145,189,.434,-10.49,-6.81,0,1,,Tennessee-Martin,Tennessee-Martin
2012,29,Big South Conference,10,144,155,.482,-11.38,-9.10,0,1,,Liberty,Liberty
2012,30,Atlantic Sun Conference,10,131,175,.428,-13.23,-9.11,0,1,,Florida Gulf Coast,Florida Gulf Coast
2012,31,Southwest Athletic Conference,10,108,176,.380,-15.59,-9.44,0,1,,Mississippi Valley State,Prairie View
2012,32,Great West Conference,6,69,111,.383,-17.08,-8.84,0,,,North Dakota,North Dakota
2012,33,Independent,4,42,72,.368,-17.33,-2.23,0,,,,
2013,1,Big 12 Conference,10,202,129,.610,19.23,13.40,1,7,,Baylor,Baylor
2013,2,Big Ten Conference,12,235,153,.606,15.41,10.84,0,6,,Penn State,Purdue
2013,3,Big East Conference,15,291,198,.595,15.32,10.75,0,8,3,Notre Dame,Notre Dame
2013,4,Atlantic Coast Conference,12,223,165,.575,15.27,11.38,0,5,,Duke,Duke
2013,5,Southeastern Conference,14,291,176,.623,14.67,8.77,0,7,,Kentucky Tennessee,Texas A&M
2013,6,Pac-12 Conference,12,221,172,.562,11.84,9.91,0,4,1,California Stanford,Stanford
2013,7,West Coast Conference,9,150,134,.528,3.52,3.88,0,1,,Gonzaga,Gonzaga
2013,8,Atlantic 10 Conference,16,251,242,.509,2.41,1.95,0,2,,Dayton,Saint Joseph's
