,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,TeamID,Name1,Abilene Christian,
0,abilene chr,abilene christian,abilene-christian,,,,,,,,1101,abilene chr,Air Force,
1,air force,air-force,,,,,,,,,1102,air force,Akron,
2,akron,,,,,,,,,,1103,akron,Alabama,
3,alabama,,,,,,,,,,1104,alabama,Alabama A&M,
4,alabama a&m,alabama-am,,,,,,,,,1105,alabama a&m,Alabama State,
5,alabama st,alabama st.,alabama state,alabama-st,alabama-state,,,,,,1106,alabama st,Albany,
6,albany,albany (ny),albany ny,albany-ny,suny albany,,,,,,1107,albany,Alcorn State,
7,alcorn,alcorn st,alcorn st.,alcorn state,alcorn-state,,,,,,1108,alcorn,American University,
8,alliant international,alliant intl,,,,,,,,,1109,alliant international,Appalachian State,
9,american,american u.,american univ,american university,american-university,,,,,,1110,american,Arizona,
10,appalachian st,appalachian st.,appalachian state,appalachian-st,appalachian-state,,,,,,1111,appalachian st,Arizona State,
11,arizona,,,,,,,,,,1112,arizona,Arkansas,
12,arizona st,arizona st.,arizona state,arizona-st,arizona-state,,,,,,1113,arizona st,Arkansas State,
13,ark little rock,arkansas-little rock,arkansas-little-rock,little rock,little-rock,ualr,,,,,1114,ark little rock,Arkansas-Pine Bluff,
14,ark pine bluff,ark-pine-bluff,ark.-pine bluff,arkansas-pine bluff,arkansas-pine-bluff,,,,,,1115,ark pine bluff,Army,
15,arkansas,,,,,,,,,,1116,arkansas,Auburn,
16,arkansas st,arkansas st.,arkansas state,arkansas-st,arkansas-state,,,,,,1117,arkansas st,Austin Peay,
17,armstrong,armstrong st,,,,,,,,,1118,armstrong,Ball State,
18,army,army west point,army-west-point,,,,,,,,1119,army,Baylor,
19,auburn,,,,,,,,,,1120,auburn,Bellarmine,
20,augusta,augusta state,,,,,,,,,1121,augusta,Belmont,
21,austin peay,austin-peay,,,,,,,,,1122,austin peay,Bethune-Cookman,
22,ball st,ball st.,ball state,ball-st,ball-state,,,,,,1123,ball st,Binghamton,
23,baylor,,,,,,,,,,1124,baylor,Boise State,
24,belmont,,,,,,,,,,1125,belmont,Boston College,
25,bethune-cookman,,,,,,,,,,1126,bethune-cookman,Boston University,
26,binghamton,,,,,,,,,,1127,binghamton,Bowling Green,
27,birmingham so,birmingham southern,birmingham-southern,,,,,,,,1128,birmingham so,Bradley,
28,boise st,boise st.,boise state,boise-st,boise-state,,,,,,1129,boise st,Brigham Young,
29,boston college,boston-college,,,,,,,,,1130,boston college,Brown,
30,boston,boston u,boston u.,boston univ,boston university,boston-u,boston-university,,,,1131,boston,Bryant University,
31,bowling green,bowling green state,bowling-green,bowling-green-state,,,,,,,1132,bowling green,Bucknell,
32,bradley,,,,,,,,,,1133,bradley,Buffalo,
33,brooklyn,,,,,,,,,,1134,brooklyn,Butler,
34,brown,,,,,,,,,,1135,brown,Cal Poly,
35,bryant,bryant university,,,,,,,,,1136,bryant,California,
36,bucknell,,,,,,,,,,1137,bucknell,California Baptist,
37,buffalo,,,,,,,,,,1138,buffalo,Campbell,
38,butler,,,,,,,,,,1139,butler,Canisius,
39,brigham young,brigham-young,byu,,,,,,,,1140,brigham young,Central Arkansas,
40,c michigan,central mich.,central michigan,central-mich,central-michigan,,,,,,1141,c michigan,Central Connecticut State,
41,cal poly,cal poly slo,cal-poly,,,,,,,,1142,cal poly,Central Michigan,
42,california,university of california,,,,,,,,,1143,california,Charleston,
43,campbell,,,,,,,,,,1144,campbell,Charleston Southern,
44,canisius,,,,,,,,,,1145,canisius,Charlotte,
45,cent arkansas,central ark.,central arkansas,central-ark,central-arkansas,,,,,,1146,cent arkansas,Chattanooga Mocs,
46,centenary,centenary (la),centenary-la,,,,,,,,1147,centenary,Chicago State,
47,central conn,central conn. st.,central connecticut,central connecticut state,central-conn-st,central-connecticut-state,,,,,1148,central conn,Cincinnati,
48,charleston so,charleston so.,charleston southern,charleston-so,charleston-southern,,,,,,1149,charleston so,Citadel,
49,charlotte,nc charlotte,north-carolina-charlotte,,,,,,,,1150,charlotte,Clemson,
50,chattanooga,tennessee-chattanooga,,,,,,,,,1151,chattanooga,Cleveland State,
51,chicago st,chicago st.,chicago state,chicago-st,chicago-state,,,,,,1152,chicago st,Coastal Carolina,
52,cincinnati,,,,,,,,,,1153,cincinnati,Colgate,
53,citadel,the citadel,the-citadel,,,,,,,,1154,citadel,Colorado,
54,clemson,,,,,,,,,,1155,clemson,Colorado State,
55,cleveland st,cleveland st.,cleveland state,cleveland-st,cleveland-state,,,,,,1156,cleveland st,Columbia,
56,coastal car,coastal caro.,coastal carolina,coastal-caro,coastal-carolina,,,,,,1157,coastal car,Coppin State,
57,charleston,col charleston,col-of-charleston,col. of charleston,college of charlesto,college of charleston,college-of-charleston,,,,1158,charleston,Cornell,
58,colgate,,,,,,,,,,1159,colgate,Creighton,
59,colorado,,,,,,,,,,1160,colorado,CS Fullerton,
