Season,Team0,Team1,DayDate,Seed,Site,MOV,FG2M,FG2A,FG3M,FG3A,FT1M,FT1A,ORB,DRB,AST,TOVR,STL,BLK,PFL,Outcome
2010,3124,3201,2010-03-20,-9,0,14,7,-4,-9,-29,9,14,-4,5,10,-6,2,1,-6,0
2010,3173,3395,2010-03-20,-1,0,1,1,-14,1,-1,-2,4,-5,8,5,8,-5,4,-8,0
2010,3181,3214,2010-03-20,-13,1,35,11,1,0,-2,13,14,3,13,11,-5,4,3,-9,0
2010,3199,3256,2010-03-20,-11,1,14,4,1,1,-5,5,4,4,6,0,1,3,-1,-3,0
2010,3207,3265,2010-03-20,-7,0,20,11,8,3,-1,-5,-9,4,7,7,-2,2,1,6,0
2010,3208,3408,2010-03-20,-7,0,5,-2,-19,-4,-20,13,16,-1,14,4,11,-4,4,-8,0
2010,3211,3314,2010-03-20,-3,1,6,6,-3,2,-1,-8,-10,-6,0,8,-2,-1,1,-4,0
2010,3234,3353,2010-03-20,-1,0,7,-8,-17,7,13,16,16,-1,11,-1,5,-6,-1,-10,0
2010,3246,3251,2010-03-20,-9,1,6,-7,-15,5,2,15,20,-8,-4,7,-7,8,1,-8,0
2010,3216,3261,2010-03-20,-3,0,-21,-2,-2,2,10,-19,-23,-9,-4,3,3,0,1,11,1
2010,3132,3277,2010-03-20,-7,0,-10,-9,-17,7,6,1,8,-5,-2,-4,6,-3,-1,-5,1
2010,3151,3329,2010-03-20,-9,0,-7,-4,-10,10,19,-9,-12,-4,4,-7,13,-9,-2,3,1
2010,3343,3385,2010-03-20,-5,0,-18,-10,1,0,0,2,-3,2,-3,2,4,-6,2,1,1
2010,3390,3415,2010-03-20,-15,1,32,8,11,0,-3,16,15,10,5,2,-7,5,-1,-5,0
2010,3122,3397,2010-03-20,-15,1,-33,-15,-14,-2,-5,-1,-4,-10,-9,-14,7,-2,-2,-1,1
2010,3340,3401,2010-03-20,-13,0,-31,-10,1,6,17,-17,-28,-5,-11,-13,9,-5,2,8,1
