Season,StartDate,TeamID,ConfAbbrev,Description,RegionW,RegionX,RegionY,RegionZ
2000,1999-11-01,3102,mwc,Mountain West Conference,East,Midwest,Mideast,West
2000,1999-11-01,3103,mac,Mid-American Conference,East,Midwest,Mideast,West
2000,1999-11-01,3104,sec,Southeastern Conference,East,Midwest,Mideast,West
2000,1999-11-01,3105,swac,Southwest Athletic Conference,East,Midwest,Mideast,West
2000,1999-11-01,3106,swac,Southwest Athletic Conference,East,Midwest,Mideast,West
2000,1999-11-01,3107,ind,Independent,East,Midwest,Mideast,West
2000,1999-11-01,3108,swac,Southwest Athletic Conference,East,Midwest,Mideast,West
2000,1999-11-01,3110,caa,Colonial Athletic Association,East,Midwest,Mideast,West
2000,1999-11-01,3111,southern,Southern Conference,East,Midwest,Mideast,West
2000,1999-11-01,3112,pac_ten,Pacific-10 Conference,East,Midwest,Mideast,West
2000,1999-11-01,3113,pac_ten,Pacific-10 Conference,East,Midwest,Mideast,West
2000,1999-11-01,3114,sun_belt,Sun Belt Conference,East,Midwest,Mideast,West
2000,1999-11-01,3115,swac,Southwest Athletic Conference,East,Midwest,Mideast,West
2000,1999-11-01,3116,sec,Southeastern Conference,East,Midwest,Mideast,West
2000,1999-11-01,3117,sun_belt,Sun Belt Conference,East,Midwest,Mideast,West
2000,1999-11-01,3119,patriot,Patriot League,East,Midwest,Mideast,West
2000,1999-11-01,3120,sec,Southeastern Conference,East,Midwest,Mideast,West
2000,1999-11-01,3122,ovc,Ohio Valley Conference,East,Midwest,Mideast,West
2000,1999-11-01,3123,mac,Mid-American Conference,East,Midwest,Mideast,West
2000,1999-11-01,3124,big_twelve,Big 12 Conference,East,Midwest,Mideast,West
2000,1999-11-01,3125,ind,Independent,East,Midwest,Mideast,West
2000,1999-11-01,3126,meac,Mid-Eastern Athletic Conference,East,Midwest,Mideast,West
2000,1999-11-01,3129,big_west,Big West Conference,East,Midwest,Mideast,West
2000,1999-11-01,3130,big_east,Big East Conference,East,Midwest,Mideast,West
2000,1999-11-01,3131,aec,America East Conference,East,Midwest,Mideast,West
2000,1999-11-01,3132,mac,Mid-American Conference,East,Midwest,Mideast,West
