TeamID,TeamName,Name0,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11
1101,Abilene Chr,Abilene Christian,abilene chr,abilene christian,abilene-christian,,,,,,,,Abilene Christian
1102,Air Force,Air Force,air force,air-force,,,,,,,,,Air Force
1103,Akron,Akron,akron,,,,,,,,,,Akron
1104,Alabama,Alabama,alabama,,,,,,,,,,Alabama
1105,Alabama A&M,Alabama AM,alabama a&m,alabama-am,,,,,,,,,Alabama A&M
1106,Alabama St,Alabama State,alabama st,alabama st.,alabama state,alabama-st,alabama-state,,,,,,Alabama State
1107,SUNY Albany,Albany,albany,albany (ny),albany ny,albany-ny,suny albany,,,,,,Albany
1108,Alcorn St,Alcorn,alcorn,alcorn st,alcorn st.,alcorn state,alcorn-state,,,,,,Alcorn State
1110,American Univ,American,american,american u.,american univ,american university,american-university,,,,,,American University
1111,Appalachian St,Appalachian State,appalachian st,appalachian st.,appalachian state,appalachian-st,appalachian-state,,,,,,Appalachian State
1112,Arizona,Arizona,arizona,,,,,,,,,,Arizona
1113,Arizona St,Arizona State,arizona st,arizona st.,arizona state,arizona-st,arizona-state,,,,,,Arizona State
1114,Ark Little Rock,Arkansas Little Rock,ark little rock,arkansas-little rock,arkansas-little-rock,little rock,little-rock,ualr,,,,,UALR
1115,Ark Pine Bluff,Arkansas Pine Bluff,ark pine bluff,ark-pine-bluff,ark.-pine bluff,arkansas-pine bluff,arkansas-pine-bluff,,,,,,Arkansas-Pine Bluff
1116,Arkansas,Arkansas,arkansas,,,,,,,,,,Arkansas
1117,Arkansas St,Arkansas State,arkansas st,arkansas st.,arkansas state,arkansas-st,arkansas-state,,,,,,Arkansas State
1119,Army,Army,army,army west point,army-west-point,,,,,,,,Army
1120,Auburn,Auburn,auburn,,,,,,,,,,Auburn
1122,Austin Peay,Austin Peay,austin peay,austin-peay,,,,,,,,,Austin Peay
1123,Ball St,Ball State,ball st,ball st.,ball state,ball-st,ball-state,,,,,,Ball State
1124,Baylor,Baylor,baylor,,,,,,,,,,Baylor
1125,Belmont,Belmont,belmont,,,,,,,,,,Belmont
1126,Bethune-Cookman,Bethune-Cookman,bethune-cookman,,,,,,,,,,Bethune-Cookman
1127,Binghamton,Binghamton,binghamton,,,,,,,,,,Binghamton
1128,Birmingham So,Birmingham Southern,birmingham so,birmingham southern,birmingham-southern,,,,,,,,
1129,Boise St,Boise State,boise st,boise st.,boise state,boise-st,boise-state,,,,,,Boise State
1130,Boston College,Boston College,boston college,boston-college,,,,,,,,,Boston College
1131,Boston Univ,Boston,boston,boston u,boston u.,boston univ,boston university,boston-u,boston-university,,,,Boston University
1132,Bowling Green,Bowling Green,bowling green,bowling green state,bowling-green,bowling-green-state,,,,,,,Bowling Green
1133,Bradley,Bradley,bradley,,,,,,,,,,Bradley
1135,Brown,Brown,brown,,,,,,,,,,Brown
1136,Bryant,Bryant,bryant,bryant university,,,,,,,,,Bryant University
1137,Bucknell,Bucknell,bucknell,,,,,,,,,,Bucknell
1138,Buffalo,Buffalo,buffalo,,,,,,,,,,Buffalo
1139,Butler,Butler,butler,,,,,,,,,,Butler
1140,BYU,Brigham Young,brigham young,brigham-young,byu,,,,,,,,Brigham Young
1141,C Michigan,Central Michigan,c michigan,central mich.,central michigan,central-mich,central-michigan,,,,,,Central Michigan
