TeamID,TeamName,Name0,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11
3101,Abilene Chr,Abilene Christian,abilene chr,abilene christian,abilene-christian,,,,,,,,Abilene Christian
3102,Air Force,Air Force,air force,air-force,,,,,,,,,Air Force
3103,Akron,Akron,akron,,,,,,,,,,Akron
3104,Alabama,Alabama,alabama,,,,,,,,,,Alabama
3105,Alabama A&M,Alabama AM,alabama a&m,alabama-am,,,,,,,,,Alabama A&M
3106,Alabama St,Alabama State,alabama st,alabama st.,alabama state,alabama-st,alabama-state,,,,,,Alabama State
3107,SUNY Albany,Albany,albany,albany (ny),albany ny,albany-ny,suny albany,,,,,,Albany
3108,Alcorn St,Alcorn,alcorn,alcorn st,alcorn st.,alcorn state,alcorn-state,,,,,,Alcorn State
3110,American Univ,American,american,american u.,american univ,american university,american-university,,,,,,American University
3111,Appalachian St,Appalachian State,appalachian st,appalachian st.,appalachian state,appalachian-st,appalachian-state,,,,,,Appalachian State
3112,Arizona,Arizona,arizona,,,,,,,,,,Arizona
3113,Arizona St,Arizona State,arizona st,arizona st.,arizona state,arizona-st,arizona-state,,,,,,Arizona State
3114,Ark Little Rock,Arkansas Little Rock,ark little rock,arkansas-little rock,arkansas-little-rock,little rock,little-rock,ualr,,,,,UALR
3115,Ark Pine Bluff,Arkansas Pine Bluff,ark pine bluff,ark-pine-bluff,ark.-pine bluff,arkansas-pine bluff,arkansas-pine-bluff,,,,,,Arkansas-Pine Bluff
3116,Arkansas,Arkansas,arkansas,,,,,,,,,,Arkansas
3117,Arkansas St,Arkansas State,arkansas st,arkansas st.,arkansas state,arkansas-st,arkansas-state,,,,,,Arkansas State
3119,Army,Army,army,army west point,army-west-point,,,,,,,,Army
3120,Auburn,Auburn,auburn,,,,,,,,,,Auburn
3122,Austin Peay,Austin Peay,austin peay,austin-peay,,,,,,,,,Austin Peay
3123,Ball St,Ball State,ball st,ball st.,ball state,ball-st,ball-state,,,,,,Ball State
3124,Baylor,Baylor,baylor,,,,,,,,,,Baylor
3125,Belmont,Belmont,belmont,,,,,,,,,,Belmont
3126,Bethune-Cookman,Bethune-Cookman,bethune-cookman,,,,,,,,,,Bethune-Cookman
3127,Binghamton,Binghamton,binghamton,,,,,,,,,,Binghamton
3128,Birmingham So,Birmingham Southern,birmingham so,birmingham southern,birmingham-southern,,,,,,,,
3129,Boise St,Boise State,boise st,boise st.,boise state,boise-st,boise-state,,,,,,Boise State
3130,Boston College,Boston College,boston college,boston-college,,,,,,,,,Boston College
3131,Boston Univ,Boston,boston,boston u,boston u.,boston univ,boston university,boston-u,boston-university,,,,Boston University
3132,Bowling Green,Bowling Green,bowling green,bowling green state,bowling-green,bowling-green-state,,,,,,,Bowling Green
3133,Bradley,Bradley,bradley,,,,,,,,,,Bradley
3135,Brown,Brown,brown,,,,,,,,,,Brown
3136,Bryant,Bryant,bryant,bryant university,,,,,,,,,Bryant University
3137,Bucknell,Bucknell,bucknell,,,,,,,,,,Bucknell
3138,Buffalo,Buffalo,buffalo,,,,,,,,,,Buffalo
3139,Butler,Butler,butler,,,,,,,,,,Butler
3140,BYU,Brigham Young,brigham young,brigham-young,byu,,,,,,,,Brigham Young
3141,C Michigan,Central Michigan,c michigan,central mich.,central michigan,central-mich,central-michigan,,,,,,Central Michigan
3142,Cal Poly,California Polytech,cal poly,cal poly slo,cal-poly,,,,,,,,Cal Poly
3143,California,California,california,university of california,,,,,,,,,California
3144,Campbell,Campbell,campbell,,,,,,,,,,Campbell
3145,Canisius,Canisius,canisius,,,,,,,,,,Canisius
3146,Cent Arkansas,Central Arkansas,cent arkansas,central ark.,central arkansas,central-ark,central-arkansas,,,,,,Central Arkansas
3147,Centenary,Centenary,centenary,centenary (la),centenary-la,,,,,,,,
3148,Central Conn,Central Connecticut,central conn,central conn. st.,central connecticut,central connecticut state,central-conn-st,central-connecticut-state,,,,,Central Connecticut State
3149,Charleston So,Charleston Southern,charleston so,charleston so.,charleston southern,charleston-so,charleston-southern,,,,,,Charleston Southern
3150,Charlotte,Charlotte,charlotte,nc charlotte,north-carolina-charlotte,,,,,,,,Charlotte
3151,Chattanooga,Chattanooga,chattanooga,tennessee-chattanooga,,,,,,,,,Chattanooga Mocs
3152,Chicago St,Chicago State,chicago st,chicago st.,chicago state,chicago-st,chicago-state,,,,,,Chicago State
3153,Cincinnati,Cincinnati,cincinnati,,,,,,,,,,Cincinnati
3155,Clemson,Clemson,clemson,,,,,,,,,,Clemson
3156,Cleveland St,Cleveland State,cleveland st,cleveland st.,cleveland state,cleveland-st,cleveland-state,,,,,,Cleveland State
3157,Coastal Car,Coastal Carolina,coastal car,coastal caro.,coastal carolina,coastal-caro,coastal-carolina,,,,,,Coastal Carolina
3158,Col Charleston,Charleston,charleston,col charleston,col-of-charleston,col. of charleston,college of charlesto,college of charleston,college-of-charleston,,,,Charleston
3159,Colgate,Colgate,colgate,,,,,,,,,,Colgate
3160,Colorado,Colorado,colorado,,,,,,,,,,Colorado
3161,Colorado St,Colorado State,colorado st,colorado st.,colorado state,colorado-st,colorado-state,,,,,,Colorado State
3162,Columbia,Columbia,columbia,,,,,,,,,,Columbia
3163,Connecticut,Connecticut,connecticut,uconn,,,,,,,,,UConn
